"id","room","floor","bath_screen","room_model","left_desk","right_desk","to_be_renovated","description","room_model_id","bed"
347,3423,34,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
357,3424,34,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
348,3425,34,NO,CURVA,YES,NO,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
369,3524,35,NO,PRESIDENTIAL SUITE,NO,YES,YES,"Need clarification, assuming King with standard curve sofa, dining, to, minimal, custom ceiling and closet",13,King
362,3519,35,NO,SUITE C,YES,NO,YES,"Double w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",17,Double
1,1607,16,YES,B,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",5,king
332,3314,33,YES,A,NO,YES,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
333,3316,33,YES,A COL,NO,YES,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
324,3317,33,YES,C+,YES,NO,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
334,3318,33,YES,C+,NO,YES,YES,"King,  medium desk, w screen, custom ceiling and closet wall covering",7,King
335,3320,33,NO,C PN,NO,YES,YES,"King, Long desk, no screen, custom ceiling and closet wall covering",6,King
338,3326,33,NO,CURVA,NO,YES,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
340,3409,34,YES,A LO,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",3,Double/Double
341,3411,34,YES,A COL,YES,NO,YES,"King, Long desk, w screen, custom ceiling and closet wall covering",2,King
342,3413,34,YES,A,YES,NO,YES,"Double, Long desk, w screen, custom ceiling and closet wall covering",1,Double/Double
358,3426,34,NO,CURVA,NO,YES,YES,"King Executive suite, of screen, standard Oxen Desk, Curve sofa, custom ceiling and closet",9,Executive King
359,3507,35,NO,SUITE B,YES,NO,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",16,king
365,3508,35,NO,SUITE B,NO,YES,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",16,king
360,3511,35,NO,SUITE A,YES,NO,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",15,king
366,3512,35,NO,SUITE A,NO,YES,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",15,Grand Suite King
361,3515,35,NO,SUITE A,YES,NO,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",15,king
367,3516,35,NO,SUITE A,NO,YES,YES,"King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",15,king
368,3520,35,NO,SUITE C,NO,YES,YES,"Double w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",17,Grand Suite Double
363,3523,35,NO,SUITE MINI,YES,NO,YES,"Assuming similar configuration as Quite A: King, w screen, medium desk, large of console, straight sofa, dining and custom closet and ceiling",18,Executive King
